,DEM,PCdoB,PDT,PEN,PHS,PMDB,PMN,PP,PPS,PR,PRB,PROS,PRP,PRTB,PSB,PSC,PSD,PSDB,PSDC,PSL,PSOL,PT,PTB,PTC,PTdoB,PV,S.Part.,SDD
DEM,0.0,47.37405853135559,27.461230422176968,23.042876901798067,44.539642761729525,38.590892600739764,26.532682229633153,35.694378563563475,9.090732922609789,31.998383409447158,36.36645518645753,14.869104408709717,34.759560461236276,44.0632260205775,32.82549007126329,28.536289808816463,15.11575212173905,8.642734338480551,13.8671875,44.932391785208566,32.849714654142204,49.44758745836498,31.8935217305075,53.905390539053904,32.82003590832815,26.852771952382355,21.82487725040916,1.7873585956018019
PCdoB,39.23001231224277,0.0,7.872765599678303,16.094771241830074,12.62443271049996,10.886396063010565,15.638428626993388,7.784776209374158,43.56722363043816,8.626045941229194,13.259602486536537,11.995201919232315,14.551836509699328,12.16547181700372,11.486161425920699,15.436000683824332,21.233623104479946,51.27313101007812,32.80254777070064,11.012412261569565,44.990160481166335,3.690974678636337,7.432904455401896,3.2520325203252014,12.848859259646758,10.190616474771872,21.94954128440368,21.865437839812316
PDT,29.39903453649626,18.836487828212412,0.0,21.515735388567762,20.517210896597632,15.875812229819559,13.764802851414572,12.170895466498493,32.529121209966945,12.774419242337245,14.04939427399107,7.518709132045458,17.88149551533151,16.72639290111043,11.5411085038198,13.479326247092175,17.02050408937113,40.89640536208811,22.507122507122517,16.40106883008177,41.19855996554034,17.220902845350963,12.000770217777259,14.427040395713107,16.33133372994888,11.989993797341185,14.032258064516128,8.002899272916707
PEN,16.339896416079384,27.62905920221651,16.72953788208025,0.0,22.340749771411154,31.29770314603735,17.244444444444454,23.14532634341704,23.74163384250808,15.658775972912096,18.780653436957664,12.560975609756085,14.414645779065921,24.91436100131753,17.357345726826736,16.53149611292183,17.58392809939201,28.590998043052835,,19.920159680638733,46.03730971167102,27.56432470536663,11.685452648155874,,16.477820636451312,13.610149942329869,13.444444444444443,35.13873473917869
PHS,38.58992396499443,11.5159815301258,4.539259771705275,16.81547619047619,0.0,6.645865291282362,12.119565217391298,3.8229993668111746,44.721645565919125,3.7409943169105304,11.177600142901795,12.560975609756085,9.222165734621257,15.800498188405797,8.924421821400912,7.787176658085073,11.543495500465468,52.4206537912838,,18.294988969429554,56.76688692505291,14.041633171693064,3.4421291627904083,11.111111111111114,7.963961154668567,17.26219899724596,18.85416666666667,45.94894561598225
PMDB,34.89532022307455,14.761656725126159,6.782039511552341,25.26274509803922,11.579574632566107,0.0,15.510781465055814,2.2896578486883783,40.59284759331371,8.888584393480755,13.818034981304123,1.2792377354297457,13.564530204407674,16.562896534493987,10.432330919064455,8.742477136462043,12.910009690936164,44.68619686263878,16.81068342498037,15.22820762222166,52.952666432887355,14.625748473150182,5.151051156092379,6.896551724137936,12.725994236020725,14.578086453197301,22.599517490952948,11.098208665921689
PMN,24.577937208759906,21.64196011437879,7.774346718656645,20.657276995305153,20.33756321553784,18.76277084727461,0.0,13.370350526845584,27.93456848680708,13.673615030784305,15.552434762729021,10.948595245446128,19.84067387116785,14.802085123446176,11.684287826813005,10.64034523591829,13.921664162567339,36.81916622668014,25.0,16.405599397232024,43.61433769193787,22.70850982710914,10.202189085562651,8.130081300813004,15.716966225557968,10.564867658293252,23.507462686567152,4.213321344778677
PP,34.063965046510376,14.3591688194129,6.051820745722878,21.029082774049215,13.109804235927399,6.832025620081097,14.468301282051286,0.0,38.942506414154664,11.53534744553346,13.438466762242513,0.09380863039399401,16.175728679515814,16.271640894066522,9.526508058809014,11.383569977215757,12.851137029243475,43.856865928585805,20.695652173913047,15.561557911946679,51.828621853992146,13.427789660597227,5.828557785487618,9.123649459783906,14.27253606636053,14.08879420380913,19.909443725743856,12.263098926416674
PPS,12.202057785317734,48.29368923625364,30.985705407085135,30.86481113320079,48.041932762983485,42.51309675559281,29.951531291611175,40.17193269927213,0.0,36.27060698058586,38.312125169046446,19.28400628544101,38.357395828279685,39.49097318662536,34.56660152237012,30.194030928083095,26.248698494810455,14.231372848892676,22.32142857142857,44.31736526946107,26.221118450623294,50.02544097693352,36.52480379630596,50.81081081081081,38.41296592177548,24.799590028917606,26.785714285714278,3.4693845648809543
PR,31.371257960879575,16.3611093954527,5.824662037317907,15.720745662606134,10.98066029029063,9.552959859950036,12.586948915325408,8.99313267993783,36.924274748973865,0.0,10.341522049540373,1.6057607114796184,7.421079842857836,13.723427894230056,11.425466136953446,10.563317244711229,14.811023197374425,42.436986943911776,18.640776699029132,13.176112852356098,47.734375,16.98418706300032,5.947129488659684,9.2071611253197,4.6924890647661215,12.05315978408484,11.324931880109006,9.419936334475736
PRB,31.935620415670186,14.005011612272341,2.7131319716065434,11.26984126984128,12.275962178181885,8.867759189603802,9.938452655889137,5.841450271641207,35.02820891158866,3.839797126267385,0.0,3.762408783117479,8.342448735145183,11.200477985108932,8.55953569087768,8.302012520415857,11.860009489241307,42.97129648793209,18.939393939393938,10.174574708451118,45.89454835534132,11.800838138989334,5.352369976214405,1.1952191235059786,7.011174768846786,6.786775796291366,5.618811881188108,10.254853098234662
PROS,20.007535121950426,18.76229876508779,10.279009126466747,9.0,17.65859123372077,8.672799233974402,18.09543478260869,6.8040899457081565,20.955332255943503,8.079428375866698,12.751929056777612,0.0,14.928804908463462,,15.111621425925293,14.481619604457663,12.634626768725582,24.485703193706087,20.430107526881727,,28.45493676977783,17.36211691739011,7.495585316415301,,9.500049377839218,12.107717767413874,2.5,14.575833614824106
PRP,26.022778775329456,14.27749256407121,4.66478342749528,9.353741496598644,8.273441417349176,6.720812412917482,14.323134328358194,6.709537699991159,31.142630066638148,2.027838079427923,8.693057489556395,3.8313994790433554,0.0,8.826836581709145,10.347477730441526,8.853650946332081,14.346153846153854,35.26953779442201,11.111111111111114,10.476918503418688,43.39265838311791,14.555357417889184,2.5634895335245886,4.0,1.7882300204918096,9.753460207612449,2.380952380952394,10.789521890456129
PRTB,39.718597041661205,10.460014826422693,2.0319473234971355,21.759259259259267,15.784152660179458,10.213563956284702,4.543511450381672,8.030196367965289,39.88642307404917,6.7304044312922,11.6925126058415,,9.732606353455864,0.0,1.3893919720923549,6.613466123019194,6.752101506740672,51.670164757403406,,6.457355559151949,57.3313192346425,10.379922930086096,6.208738155627316,0.0,7.823862936028604,13.698937044136315,16.136363636363626,
PSB,32.18803279930903,14.477656296435327,3.798130217440999,18.067226890756302,14.434166753602028,11.852547142429884,11.592026973423245,7.678284871217727,35.554864806977136,10.20819596776019,13.55423569865583,9.641418661893042,15.930420471752925,11.161879530732122,0.0,10.39330159746018,13.611081613847347,44.86398705645543,21.074380165289256,12.303878610688372,42.57167985310304,14.379540210967107,6.230443871749884,5.916305916305916,13.300116836695963,7.797135710023753,11.75133689839572,9.419028127089504
PSC,28.277639960802617,19.289559200272265,8.429190988583358,18.719671519223596,14.358076670991196,10.759319798237257,10.025514403292192,9.419219177584765,31.531207553982853,9.886725001056789,13.938320853649827,4.222832746966063,14.507642352689345,16.003229754888352,11.080895068975764,0.0,12.253429942518437,39.02942079001255,22.869955156950667,14.156761104656354,47.97154652003378,19.49235289333261,7.825137911099347,7.042253521126767,13.695124427706403,10.972878289709826,14.05099150141642,6.264784131444074
PSD,19.968020579752036,22.536809885149566,8.295246575794238,18.3381285107549,16.04435745448572,14.687977500447943,11.288837209302315,10.570233425343147,28.537335921679187,13.454247253451413,16.004978027550493,5.035997259813627,18.13222578418403,12.821499199279629,12.64021444921191,11.427339339353992,0.0,32.356328657607264,19.535519125683066,17.379124870993707,45.856393615708825,23.67490581399926,8.489625456225639,8.776167471819633,14.959740120097266,13.122040356129233,15.829411764705881,10.633291263000956
PSDB,6.863030558686489,48.79570238976722,32.480180295303256,27.042908976179206,50.717898187732935,41.368719829986794,32.34098360655737,38.69998005682713,6.17583543705463,35.39402421271592,38.49649778964171,16.647209237747035,37.64301153074814,46.10608661491293,37.15610296505494,31.02715052261196,21.738653950285922,0.0,19.346733668341713,47.44247317969711,29.539368943601062,50.436620283672234,37.78177855977529,56.754921928038016,37.967716422203054,28.26112944895695,26.785714285714278,2.774800135060616
PSDC,9.546982022513177,28.210351899387476,13.890772128060249,,,9.903566845022652,28.13333333333334,15.737646954830723,16.765816564068075,12.60293452265529,16.55725747629468,12.452574525745248,9.807829181494654,,17.357345726826736,18.15429880895124,13.659353246982107,15.003050302257222,0.0,,36.37126552534408,20.58257286973931,0.7095715415766364,,10.948477751756442,13.610149942329869,,11.91680026308218
PSL,37.53490927184507,9.38501693306587,3.6155533399800532,9.722222222222214,15.489691655494767,7.299756884277798,9.58709677419354,6.957368150124026,43.868947545393404,4.727851349964084,8.436092161153283,,9.772789488091973,9.440234011434654,5.620699867863507,7.451399422429489,14.611919958732088,52.224910540912326,,0.0,51.72417110858814,8.70332746706167,4.02970241332109,2.0,8.679649159444509,8.528394056584574,6.818181818181813,
PSOL,25.98001525702361,44.326626565705055,33.10812390414962,40.51059730250482,55.14470486892349,49.09349516803971,38.25048543689321,46.56225586490764,18.170393409549433,38.45470888790765,40.793523772840615,21.896465903434546,44.965866762673606,57.13103655784565,37.01060311599883,41.568855685240685,39.17267715040006,27.283739425992025,35.294117647058826,47.46949250187671,0.0,43.98553025597885,42.66834632121088,63.333333333333336,43.89754098360656,25.95155709342562,42.11764705882353,10.746464042801463
PT,42.83457844739715,4.406437324918969,6.430092536217231,17.35517136791023,16.01556196998763,9.549932079837376,17.22069351230425,5.924210853569733,48.72247488743515,10.479756473679018,11.44422372517188,9.743494528370888,14.083565000958302,15.119116771334518,11.178486932351106,16.11130760244832,21.077394350590225,54.79362038982824,20.302114803625386,10.921850038176686,46.571681043722364,0.0,7.041646350298279,3.5265104808877936,14.958744978829657,9.852154765649573,20.498346717052442,23.40365305005413
PTB,32.04463197068115,15.599061127650927,7.880720090607426,15.509259259259267,13.279385224428026,8.807980988142134,11.065859101051956,5.859926714707228,38.32855009455973,9.377244305539321,13.317739379763069,4.014268455937568,13.376212086584601,16.294144719132348,10.0417224139145,10.694882569270916,13.521675409060236,45.16501293316639,9.195402298850581,14.392780170825247,49.91342522658611,16.002525244059015,0.0,8.120133481646278,12.289959016393453,13.64271302188422,17.891246684350136,11.605514278147908
PTC,50.36831156430106,1.4413305737353426,0.5469692617063941,,5.572220707208444,0.38747747260555343,0.23508771929824945,2.828634224613353,47.76337453331169,1.806134824148856,2.40700218818381,,2.508462807047991,0.7246376811594217,2.6529821843532204,0.9892719781076096,0.26962727993655733,68.61432600968897,,0.41655818797188715,66.89498906136055,0.3774744842519908,3.2358455395687287,0.0,3.1501806057238326,1.6597267022462034,2.5,
PTdoB,27.8753591592438,17.50115182458417,6.53909671380336,14.598540145985396,11.289241085035044,10.088998145573157,11.064999999999998,10.680481218392003,34.36045451191208,1.9710785478002464,9.308197273186323,2.8877667682926784,3.788988905170598,10.422753050352298,11.139935557500948,9.823865063961335,15.0587324839004,39.500918009626695,15.909090909090907,9.075053775943246,46.033263774254834,18.232944848133982,6.679769802302346,7.092198581560282,0.0,11.711471919084374,6.18644067796609,10.477941176470594
PV,31.905208149046032,19.203489078323685,11.361529119805695,15.781963470319653,25.53721022207486,20.029714151391616,15.946366197183096,17.521672704617018,30.405422686399206,14.292476013710868,16.660410353130757,7.549918699186989,20.371207801655487,22.084962809600498,13.415841823448304,16.34074555573943,17.854305907595617,43.00754771629804,20.491803278688522,18.511677399601467,38.48679889662419,18.547136248393215,15.655210395408034,15.46184738955823,18.025253134040497,0.0,8.384955752212392,10.347317795042542
S.Part.,23.251984746374816,22.86529465954726,2.7895824720959013,6.306306306306311,14.694300518134725,20.031055619601233,15.508108108108118,15.444049905892854,25.08923490766128,5.820457157451145,5.273522975929978,12.560975609756085,5.392827812756636,22.519509476031203,6.703066256069221,16.956556840301758,16.344588672315197,29.843787551069468,,9.514304723885559,41.89199395770393,17.815415130008972,7.548613324832644,0.0,1.085511741249448,13.309140011815344,0.0,8.102108768035507
SDD,4.855435446917397,29.824125465250148,3.837538718546611,45.833333333333336,57.977487939967844,13.997762405765755,11.56858316221765,13.463626280100428,5.923809457439418,10.579929833614628,17.027903336581005,9.280938548605192,20.20977711181868,,8.472472511479722,8.049891254500793,11.116841201940375,7.324509481042355,16.489361702127653,,19.887137423101606,29.971022014208387,12.115906131952286,,13.30353132719516,6.603170317529106,18.0,0.0
